B_COUNTRY,Q4,Q200,Q199,Q240,Q217,Q238,Q289,Q290,Q252
76,3,2,3,4,1,3,1,76003,4
76,4,-1,4,5,2,2,0,76003,9
76,2,3,1,2,2,3,2,76003,7
76,4,3,4,-1,3,2,1,76003,1
76,2,2,2,6,1,1,1,76001,1
76,4,2,4,1,2,4,2,76003,1
76,3,3,4,7,1,2,1,76001,8
76,2,2,2,-1,2,2,2,76003,5
76,-1,2,3,10,2,1,2,76003,1
76,4,3,4,-1,3,1,2,76001,1
76,2,2,4,5,-1,2,2,76003,1
76,4,3,4,-2,3,1,2,76001,3
76,2,3,3,-2,-1,-1,1,76002,10
76,2,3,4,-1,3,2,2,76002,-1
76,4,1,2,5,2,2,2,76002,1
76,4,3,4,-1,2,1,0,76001,1
76,4,3,4,-1,3,-1,2,76003,1
76,1,1,1,1,1,1,0,76001,8
76,3,1,2,3,1,2,1,76001,1
76,2,2,2,6,3,1,1,76002,1
76,-1,2,4,-1,-5,2,1,76003,1
76,1,2,1,1,1,1,9,76002,2
76,3,2,3,5,3,1,9,76001,1
76,4,3,4,-1,3,2,2,76003,2
76,4,3,4,-1,-5,2,1,76001,5
76,1,1,3,4,2,2,1,76002,6
76,1,3,2,-2,3,2,1,76003,1
76,2,2,2,5,3,2,1,76001,7
76,3,2,3,-1,2,2,1,76001,7
76,2,2,2,5,1,1,1,76003,3
76,2,2,2,1,2,4,1,76003,1
76,4,3,4,10,3,-1,1,76003,1
76,1,1,1,5,1,1,2,76003,1
76,1,3,4,1,1,2,2,76003,1
76,1,1,1,10,2,2,9,76001,5
76,2,3,2,-1,1,2,2,76001,1
76,4,3,4,5,3,2,0,76003,2
76,4,3,3,-1,1,1,0,76001,5
76,4,3,3,-1,3,1,1,76001,2
76,1,2,2,5,3,2,2,76003,1
76,4,2,4,10,2,1,1,76001,1
76,4,2,3,10,1,-1,1,76003,1
76,4,3,1,8,3,3,9,76003,7
76,2,1,3,5,1,3,1,76003,1
